ID,Project Status,Building Name,Planning Approval Street Number,Planning Approval Street Name,Mapping Address,Section 415 Declaration of Intent,Tenure,Total Units in Building or Phase,Total Units Subject to Section 415,Total BMRs in this Building or Phase,Total BMRs On-Site,Total BMRs Off-Site,Off-Site Units at this Site,Principal Project Address,Off-Site Address,Planning Approval Date,Completion Date,Neighborhood,Planning Neighborhood,Supervisor District,Plan Area,Location
72,Completed,Symphony Towers,750,Van Ness Avenue,"750 Van Ness Ave, San Francisco, CA, 94102",On-site BMR Project ,Ownership,130,130,16,16,0,0,,,06/20/2002,01/08/2008,Tenderloin,Downtown/Civic Center,6,Van Ness Corridor,"750 Van Ness Ave
San Francisco, CA 94102
(37.782607, -122.420684)"
348,Entitled/Approved,1700 Market ,1700,Market Street,"1700 Market St, San Francisco, CA, 94102",On-site BMR Project ,Ownership ,42,42,5,5,0,0,,,06/18/2015,,Hayes Valley,Western Addition,5,Market and Octavia,"1700 Market St
San Francisco, CA 94102
(37.772797, -122.422401)"
359,Entitled/Approved,1463 Lombard,1463,Lombard Street,"1463 Lombard St, San Francisco, CA, 94123",On-site BMR Project ,Ownership,13,13,2,2,0,0,,,10/08/2015,,Marina,Marina,2,,"1463 Lombard St
San Francisco, CA 94123
(37.801144, -122.425539)"
26,Completed,949 Post Street,949,Post Street ,"949 Post St, San Francisco, CA, 94109",On-site BMR Project ,Rental,24,24,24,24,0,0,,,08/04/1997,01/01/1999,Tenderloin,Downtown/Civic Center,6,,"949 Post St
San Francisco, CA 94109
(37.787131, -122.417461)"
292,First Construction Document Issued,450 Hayes,450,Hayes Street,"450 Hayes St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,24,24,5,5,0,0,,,07/11/2013,,Hayes Valley,Western Addition,5,Market and Octavia,"450 Hayes St
San Francisco, CA 94102
(37.776775, -122.423833)"
319,Entitled/Approved,815-825 Tennessee,815-825,Tennessee Street,"815 Tennessee St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,69,69,10,10,0,0,,,10/16/2014,,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"815 Tennessee St
San Francisco, CA 94107
(37.761477, -122.389571)"
289,Building Permit Issued,706 Mission,706,Mission Street,"706 Mission St, San Francisco, CA, 94103",Fee Payment ,Unknown,185,185,0,0,0,0,,,05/23/2013,,Financial District,Financial District,6,Yerba Buena,"706 Mission St
San Francisco, CA 94103
(37.785897, -122.402536)"
354,Entitled/Approved,"925 Mission - """"N-1 Site""""",110,05th Street,"110 5th St, San Francisco, CA, 94103",Fee Payment ,Ownership,400,400,0,0,0,0,,,09/17/2015,,South of Market,South of Market,6,Downtown,"110 5th St
San Francisco, CA 94103
(37.782192, -122.405815)"
161,Completed,680 Illinois,680,Illinois Street,"680 Illinois St, San Francisco, CA, 94107",Off-site BMR Project,Ownership,35,35,0,0,6,0,,2428 Bayshore Blvd. (6 of 12 ownership units),12/01/2005,01/01/2009,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"680 Illinois St
San Francisco, CA 94107
(37.763418, -122.387838)"
235,Completed,246 Ritch Street,246,Ritch Street ,"246 Ritch St, San Francisco, CA, 94107",Fee Payment ,Ownership,19,19,0,0,0,0,,,06/10/2010,02/06/2014,South of Market,South of Market,6,Central SoMa,"246 Ritch St
San Francisco, CA 94107
(37.780356, -122.395708)"
316,First Construction Document Issued,645 Texas,645,Texas Street,"645 Texas St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,91,91,11,11,0,0,,,08/14/2014,,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"645 Texas St
San Francisco, CA 94107
(37.757749, -122.394805)"
392,Entitled/Approved,2435-2445 16th St,2435-2445,16th Street,"2435 16th St, San Francisco, CA 94110",On-site BMR Project,Ownership,53,53,9,9,0,0,,,06/09/2016,,Mission,Mission,9,Mission (Eastern Neighborhoods),"2435 16th St
San Francisco, CA 94110
(37.765573, -122.411041)"
314,Entitled/Approved,346 Potrero,346,Potrero Avenue,"346 Potrero Ave, San Francisco, CA, 94110",On-site BMR Project ,Rental,70,70,11,11,0,0,,,07/24/2014,,Mission,Mission,10,Mission (Eastern Neighborhoods),"346 Potrero Ave
San Francisco, CA 94110
(37.76517, -122.407494)"
385,Entitled/Approved,1200 17th St,1200,17th Street ,"1200 17th St, San Francisco, CA 94107",Fee Payment,Rental,135,135,0,0,0,0,,,05/12/2016,,Mission Bay,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1200 17th St
San Francisco, CA 94107
(37.76522, -122.3954)"
173,First Construction Document Issued,399 Fremont,355-399,Fremont Street ,"355 Fremont St, San Francisco, CA, 94105",Fee Payment ,Unknown,452,452,0,0,0,0,,,06/15/2006,,Financial District,South of Market,6,Rincon Hill,"355 Fremont St
San Francisco, CA 94105
(37.787188, -122.392604)"
262,Completed,Marlow,1800,Van Ness Avenue,"1800 Van Ness Ave, San Francisco, CA, 94109",On-site BMR Project ,Ownership,98,98,15,15,0,0,,,10/20/2011,02/21/2014,Nob Hill,Nob Hill,3,Van Ness Corridor,"1800 Van Ness Ave
San Francisco, CA 94109
(37.792442, -122.42267)"
40,Completed,Magnolia Place,1888,Lombard Street ,"1888 Lombard St, San Francisco, CA, 94123",On-site BMR Project ,Rental,27,27,3,3,0,0,,,05/13/1999,01/01/2001,Marina,Marina,2,,"1888 Lombard St
San Francisco, CA 94123
(37.800348, -122.432435)"
384,Entitled/Approved,901 16th St,901,16th Street,"901 16th St, San Francisco, CA 94107",On-site BMR Project,Rental,260,260,42,42,0,0,,,05/12/2016,,Mission Bay,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"901 16th St
San Francisco, CA 94107
(37.766518, -122.395317)"
60,Completed,Mission Terrace Condominiums,1800-1820,San Jose (aka 8-18 Colonial and 305-315 Santa Rosa),"1800 San Jose Ave, San Francisco, CA, 94112",On-site BMR Project ,Ownership,18,18,2,2,0,0,,,11/15/2001,01/01/2004,Outer Mission,Outer Mission,11,,"1800 San Jose Ave
San Francisco, CA 94112
(37.728742, -122.440251)"
213,Entitled/Approved,1 Stanyan,1,Stanyan Street,"1 Stanyan Blvd, San Francisco, CA, 94118",Fee Payment ,Unknown,13,13,0,0,0,0,,,12/31/2008,,Lone Mountain/USF,Presidio Heights,1,,"1 Stanyan Blvd
San Francisco, CA 94118
(37.781319, -122.456284)"
358,Entitled/Approved,1532 Harrison,1532,Harrison Street ,"1532 Harrison St, San Francisco, CA, 94103",On-site BMR Project ,Rental,136,136,22,22,0,0,,,10/08/2015,,Mission,South of Market,6,Western SoMa (Eastern Neighborhoods),"1532 Harrison St
San Francisco, CA 94103
(37.770187, -122.412984)"
254,Completed,The Hayes,55,Page Street,"55 Page St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,128,128,17,17,0,0,,,05/26/2011,10/30/2008,Hayes Valley,Downtown/Civic Center,5,Market and Octavia,"55 Page St
San Francisco, CA 94102
(37.774149, -122.421932)"
249,Entitled/Approved,Park Merced - Phase I,3711,19th Avenue,"3711 19th Ave, San Francisco, CA, 94132",Combination Project,Unknown,5679,5679,284,284,0,0,,,02/10/2011,,Lakeshore,Lakeshore,7,,"3711 19th Ave
San Francisco, CA 94132
(37.722226, -122.475279)"
248,Completed,574 Natoma Street,574,Natoma Street,"574 Natoma St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,11,11,2,2,0,0,,,01/12/2011,01/01/2012,South of Market,South of Market,6,East SoMa (Eastern Neighborhoods),"574 Natoma St
San Francisco, CA 94103
(37.778888, -122.409346)"
259,Completed,300 Ivy ,401,Grove Street,"401 Grove St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,63,63,9,9,0,0,,,07/14/2011,11/19/2013,Hayes Valley,Western Addition,5,Market and Octavia,"401 Grove St
San Francisco, CA 94102
(37.777758, -122.423609)"
20,Completed,1301 San Jose/Glen Court,1301,San Jose Avenue  (aka Bosworth or Milton),"1301 San Jose Ave, San Francisco, CA, 94112",On-site BMR Project ,Ownership,31,31,3,3,0,0,,,04/04/1996,01/01/2003,Outer Mission,Bernal Heights,8,Glen Park,"1301 San Jose Ave
San Francisco, CA 94112
(37.734673, -122.428952)"
120,Completed,3208 Pierce ,2298,Lombard Street ,"2298 Lombard St, San Francisco, CA, 94123",On-site BMR Project ,Ownership,14,14,1,1,0,0,,,08/23/2004,05/04/2007,Marina,Marina,2,,"2298 Lombard St
San Francisco, CA 94123
(37.799506, -122.439093)"
265,Entitled/Approved,1150 16th Street (AKA 1208 8th Street),1150,16th Street,"1150 16th St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,15,15,2,2,0,0,,,04/12/2012,,Mission Bay,South of Market,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1150 16th St
San Francisco, CA 94107
(37.766378, -122.397734)"
338,Entitled/Approved,150 Van Ness Avenue,150,Van Ness Avenue,"150 Van Ness Ave, San Francisco, CA, 94102",On-site BMR Project ,Rental,420,420,50,50,0,0,,,04/02/2015,,Tenderloin,Downtown/Civic Center,6,Downtown,"150 Van Ness Ave
San Francisco, CA 94102
(37.77703, -122.419571)"
7,Completed,1130 Mariposa,1130,Mariposa Street,"1130 Mariposa St, San Francisco, CA, 94107",On-site BMR Project ,Rental,23,23,2,2,0,0,,,02/13/1992,01/01/1999,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1130 Mariposa St
San Francisco, CA 94107
(37.763945, -122.395284)"
81,Completed,2000 Post III,2161,Sutter Street,"2161 Sutter St, San Francisco, CA, 94115",On-site BMR Project ,Rental,24,24,3,3,0,0,,,01/23/2003,01/05/2007,Japantown,Western Addition,5,,"2161 Sutter St
San Francisco, CA 94115
(37.785769, -122.435871)"
231,Completed,200 Dolores Street,200,Dolores Street,"200 Dolores St, San Francisco, CA, 94114",Fee Payment ,Unknown,11,11,0,0,0,0,,,03/25/2010,09/13/2013,Castro/Upper Market,Castro/Upper Market,8,Market and Octavia,"200 Dolores St
San Francisco, CA 94114
(37.766089, -122.426597)"
18,Completed,39 Boardman Place ,39-43,Boardman Place,"39 Boardman Pl, San Francisco, CA, 94103",On-site BMR Project ,Ownership,14,14,1,1,0,0,,,08/17/1995,01/01/1996,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"39 Boardman Pl
San Francisco, CA 94103
(37.774619, -122.402944)"
75,Completed,Glen Park Marketplace,53,Wilder Street ,"53 Wilder St, San Francisco, CA, 94131",On-site BMR Project ,Ownership,15,15,2,2,0,0,,,12/05/2002,11/16/2006,Glen Park,Glen Park,8,Glen Park,"53 Wilder St
San Francisco, CA 94131
(37.734119, -122.433135)"
344,Entitled/Approved,600 S. Van Ness,600,South Van Ness Avenue,"600 South Van Ness Ave, San Francisco, CA, 94110",On-site BMR Project ,Ownership,27,27,4,4,0,0,,,05/21/2015,,Mission,Mission,9,Mission (Eastern Neighborhoods),"600 South Van Ness Ave
San Francisco, CA 94110
(37.763346, -122.417306)"
89,Completed,Landmark Union Sq.,333,Grant Avenue,"333 Grant Ave, San Francisco, CA, 94108",On-site BMR Project ,Ownership,39,39,2,2,0,0,,,05/15/2003,01/01/2004,Financial District,Financial District,3,Downtown,"333 Grant Ave
San Francisco, CA 94108
(37.790212, -122.4055)"
179,Completed,480 14th Street,480,14th Street,"480 14th St, San Francisco, CA, 94103",Fee Payment ,Ownership,12,12,0,0,0,0,,,11/06/2006,01/29/2009,Mission,Mission,8,Market and Octavia,"480 14th St
San Francisco, CA 94103
(37.768049, -122.423908)"
247,Completed,1600 Market ,1600,Market Street,"1600 Market St, San Francisco, CA, 94102",Units for Off-site Project,Ownership,24,1,23,0,0,23,1998 Market Street ,,01/01/2011,03/14/2014,Hayes Valley,South of Market,5,Market and Octavia,"1600 Market St
San Francisco, CA 94102
(37.773944, -122.420941)"
102,Completed,1725 Washington Street,1725,Washington Street,"1725 Washington St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,16,16,2,2,0,0,,,11/17/2003,05/10/2006,Russian Hill,Nob Hill,3,,"1725 Washington St
San Francisco, CA 94109
(37.793205, -122.421755)"
368,Entitled/Approved,2177 3rd Street (aka 590 19th St),2177,03rd Street,"2177 3rd St, San Francisco, CA 94107",On-site BMR Project ,Ownership,109,109,17,17,0,0,,,01/14/2016,,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"2177 3rd St
San Francisco, CA 94107
(37.762775, -122.388647)"
182,Completed,One Ecker Place,16,Jessie (aka One Ecker Place),"16 Jessie St, San Francisco, CA, 94105",Fee Payment ,Ownership,51,51,0,0,0,0,,,01/11/2007,10/12/2010,Financial District,Financial District,6,Downtown,"16 Jessie St
San Francisco, CA 94105
(37.789739, -122.398824)"
312,First Construction Document Issued,580 Hayes Street ,580,Hayes Street,"580 Hayes St, San Francisco, CA, 94102",Fee Payment ,Unknown,29,29,0,0,0,0,,,06/26/2014,,Hayes Valley,Western Addition,5,Market and Octavia,"580 Hayes St
San Francisco, CA 94102
(37.776495, -122.425995)"
328,First Construction Document Issued,1 Franklin,1,Franklin Street,"1 Franklin St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,35,35,4,4,0,0,,,01/08/2015,,Hayes Valley,Downtown/Civic Center,5,Market and Octavia,"1 Franklin St
San Francisco, CA 94102
(37.774489, -122.420816)"
113,Completed,329 Bay Street ,329,Bay Street,"329 Bay St, San Francisco, CA, 94133",On-site BMR Project ,Ownership,21,21,2,2,0,0,,,06/30/2004,04/13/2007,North Beach,North Beach,3,,"329 Bay St
San Francisco, CA 94133
(37.805733, -122.412686)"
41,Completed,140 South Van Ness / 1655 Mission,140,South Van Ness Avenue,"140 South Van Ness Ave, San Francisco, CA, 94103",On-site BMR Project ,Ownership,223,223,23,23,0,0,,,06/03/1999,01/01/2003,Mission,South of Market,6,Market and Octavia,"140 South Van Ness Ave
San Francisco, CA 94103
(37.771721, -122.418279)"
229,Completed,Blanc,1080,Sutter Street,"1080 Sutter St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,35,35,4,4,0,0,,,12/10/2009,04/02/2014,Nob Hill,Downtown/Civic Center,3,,"1080 Sutter St
San Francisco, CA 94109
(37.788027, -122.418031)"
287,Building Permit Issued,5400 Geary Street ,5400,Geary Street,"5400 Geary Blvd, San Francisco, CA, 94121",On-site BMR Project ,Ownership,43,43,5,5,0,0,,,04/25/2013,,Outer Richmond,Inner Richmond,1,,"5400 Geary Blvd
San Francisco, CA 94121
(37.780486, -122.47758)"
14,Completed,Harbor Lofts (AKA 400 Spear),101,Harrison Street,"101 Harrison St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,12,12,2,2,0,0,,,04/13/1995,01/01/2003,Financial District,South of Market,6,Rincon Hill,"101 Harrison St
San Francisco, CA 94105
(37.788652, -122.389644)"
237,Completed,"Onyx, Phase I",1717,17th Street ,"1717 17th St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,20,20,2,2,0,0,,,07/15/2010,04/18/2014,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1717 17th St
San Francisco, CA 94107
(37.764919, -122.401076)"
251,Completed,25-35 Dolores Street,25-35,Dolores Street,"25 Dolores St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,37,37,4,4,0,0,,,04/07/2011,04/23/2015,Mission,Mission,8,Market and Octavia,"25 Dolores St
San Francisco, CA 94103
(37.768535, -122.426697)"
5,Completed,Ocean View Village,2251,Alemany Blvd,"2251 Alemany Blvd, San Francisco, CA, 94112",On-site BMR Project ,Ownership,37,37,2,2,0,0,,,01/01/1992,11/15/1995,Outer Mission,Outer Mission,11,,"2251 Alemany Blvd
San Francisco, CA 94112
(37.717013, -122.443288)"
270,First Construction Document Issued,55 Laguna Street,218-220,Buchanan Street,"218 Buchanan St, San Francisco, CA, 94102",On-site BMR Project ,Rental,330,330,50,50,0,0,,,08/16/2012,,Hayes Valley,Western Addition,8,Market and Octavia,"218 Buchanan St
San Francisco, CA 94102
(37.772181, -122.427116)"
372,Entitled/Approved,988 Harrison,988,Harrison Street,"377 6th St, San Francisco, CA 94107",On-site BMR Project ,Rental,100,100,12,12,0,0,,,02/25/2016,,South of Market,South of Market,6,Central SoMa,"377 6th St
San Francisco, CA 94107
(37.777464, -122.404313)"
279,First Construction Document Issued,2895 San Bruno Avenue,2895,San Bruno Avenue,"2895 San Bruno Ave, San Francisco, CA, 94134",On-site BMR Project ,Ownership,10,10,1,1,0,0,,,01/17/2013,,Portola,Excelsior,9,,"2895 San Bruno Ave
San Francisco, CA 94134
(37.72544, -122.402706)"
293,First Construction Document Issued,468 Clementina,468,Clementina Street,"468 Clementina St, San Francisco, CA, 94103",Fee Payment ,Unknown,13,13,0,0,0,0,,,07/26/2013,,South of Market,South of Market,6,Central SoMa,"468 Clementina St
San Francisco, CA 94103
(37.779524, -122.40545)"
103,Completed,1277 Howard Street/776 Tehama Street,1277,Howard Street ,"1277 Howard St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,14,14,2,2,0,0,,,12/02/2003,01/01/2006,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"1277 Howard St
San Francisco, CA 94103
(37.775345, -122.412716)"
353,Entitled/Approved,75 Howard ,75,Howard Street ,"75 Howard St, San Francisco, CA, 94105",Fee Payment ,Unknown,133,133,0,0,0,0,,,09/03/2015,,Financial District,Financial District,6,Downtown,"75 Howard St
San Francisco, CA 94105
(37.791801, -122.391886)"
21,Completed,Pacific Homes (AKA 1800 Washington and 1701 Jackson) ,1901,Van Ness Avenue,"1901 Van Ness Ave, San Francisco, CA, 94109",On-site BMR Project ,Ownership,149,149,6,6,0,0,,,04/18/1996,01/01/2002,Pacific Heights,Pacific Heights,2,Van Ness Corridor,"1901 Van Ness Ave
San Francisco, CA 94109
(37.793391, -122.42303)"
155,Completed,Wilson Building,973,Market Street ,"973 Market St, San Francisco, CA, 94103",On-site BMR Project ,Rental,67,67,7,7,0,0,,,09/15/2005,08/01/2014,South of Market,South of Market,6,Downtown,"973 Market St
San Francisco, CA 94103
(37.782771, -122.409626)"
43,Completed,Metro@Showplace Square,675,Townsend (aka 660 King or 701 8th Street),"675 Townsend St, San Francisco, CA, 94107",On-site BMR Project ,Rental,148,148,15,15,0,0,,,06/17/1999,08/07/2006,Mission Bay,South of Market,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"675 Townsend St
San Francisco, CA 94107
(37.770669, -122.403105)"
356,Entitled/Approved,525 Harrison,525,Harrison Street,"525 Harrison St, San Francisco, CA, 94105",On-site BMR Project ,Rental ,205,205,25,25,0,0,,,09/24/2015,,Financial District,South of Market,6,Rincon Hill,"525 Harrison St
San Francisco, CA 94105
(37.785623, -122.393506)"
325,First Construction Document Issued,233 Shipley,233-237 ,Shipley Street,"233 Shipley St, San Francisco, CA, 94107",Fee Payment ,Unknown,21,21,0,0,0,0,,,12/17/2014,,South of Market,South of Market,6,Central SoMa,"233 Shipley St
San Francisco, CA 94107
(37.779271, -122.403563)"
61,Completed,Tiffany Gardens,3249,Mission Street,"3249 Mission St, San Francisco, CA, 94110",On-site BMR Project ,Rental,33,33,3,3,0,0,,,12/06/2001,01/01/2004,Bernal Heights,Bernal Heights,9,,"3249 Mission St
San Francisco, CA 94110
(37.744754, -122.420433)"
245,Completed,Linea,1960-1998,Market Street,"1960 Market St, San Francisco, CA, 94102",Off-site BMR Project,Ownership,114,114,0,0,23,0,,1600 Market Street (23 of 24 ownership units) ,12/16/2010,02/20/2014,Mission,Mission,8,Market and Octavia,"1960 Market St
San Francisco, CA 94102
(37.770065, -122.425816)"
381,Entitled/Approved,1601 Mission,1601,Mission Street,"1601 Mission St, San Francisco, CA 94103",Fee Payment ,Unknown,220,220,0,0,0,0,,,04/07/2016,,Mission,South of Market,6,Downtown,"1601 Mission St
San Francisco, CA 94103
(37.772239, -122.419028)"
277,First Construction Document Issued,181 Fremont,181,Fremont Street,"181 Fremont St, San Francisco, CA, 94105",Fee Payment ,Ownership,74,74,0,0,0,0,,,12/06/2012,,Financial District,Financial District,6,Downtown,"181 Fremont St
San Francisco, CA 94105
(37.78947, -122.395431)"
63,Completed,843 Montgomery,843-847,Montgomery Street,"843 Montgomery St, San Francisco, CA, 94133",Fee Payment ,Unknown,13,13,0,0,0,0,,,01/01/2002,01/22/2008,Chinatown,Financial District,3,,"843 Montgomery St
San Francisco, CA 94133
(37.796988, -122.403618)"
154,Completed,5800 Third Street - Buildings 1 & 2,5800,03rd Street,"5800 3rd St, San Francisco, CA, 94124",On-site BMR Project ,Ownership,139,139,17,17,0,0,,,09/01/2005,09/20/2010,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"5800 3rd St
San Francisco, CA 94124
(37.724844, -122.394658)"
144,Completed,333 Fremont Street,333,Fremont Street ,"333 Fremont St, San Francisco, CA, 94105",Fee Payment ,Rental,83,83,0,0,0,0,,,06/16/2005,01/03/2014,Financial District,South of Market,6,Rincon Hill,"333 Fremont St
San Francisco, CA 94105
(37.787469, -122.392955)"
263,Completed,Fifteen Fifteen,1501,15th Street,"1501 15th St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,40,40,7,7,0,0,,,11/14/2011,06/09/2014,Mission,Mission,9,Mission (Eastern Neighborhoods),"1501 15th St
San Francisco, CA 94103
(37.766801, -122.417993)"
252,Completed,45 Lansing  ,45,Lansing Street ,"45 Lansing St, San Francisco, CA, 94105",Fee Payment ,Unknown,320,320,0,0,0,0,,,04/14/2011,09/30/2015,Financial District,South of Market,6,Rincon Hill,"45 Lansing St
San Francisco, CA 94105
(37.78609, -122.393922)"
82,Completed,170 Off Third ,177,Townsend Street (aka 170 King Street),"177 Townsend St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,198,198,24,24,0,0,,,02/20/2003,11/29/2007,Mission Bay,South of Market,6,East SoMa (Eastern Neighborhoods),"177 Townsend St
San Francisco, CA 94107
(37.779296, -122.392216)"
176,Entitled/Approved,"Trinity Plaza Apartments, Phase IV",1167,Market Street,"1167 Market St, San Francisco, CA, 94103",On-site BMR Project ,Rental,493,493,74,74,0,0,,,08/03/2006,,South of Market,South of Market,6,Downtown,"1167 Market St
San Francisco, CA 94103
(37.779444, -122.413831)"
315,Building Permit Issued,923 Folsom,923,Folsom Street,"923 Folsom St, San Francisco, CA, 94107",Fee Payment ,Ownership,115,115,0,0,0,0,,,07/24/2014,,South of Market,South of Market,6,Central SoMa,"923 Folsom St
San Francisco, CA 94107
(37.780026, -122.403712)"
340,Entitled/Approved,777 Tennessee,777,Tennessee Street,"777 Tennessee St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,59,59,8,8,0,0,,,04/30/2015,,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"777 Tennessee St
San Francisco, CA 94107
(37.761991, -122.389625)"
52,Completed,The Metropolitan ,333-355 ,1st Street ,"333 1st St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,342,342,34,34,0,0,,,11/02/2000,08/17/2005,Financial District,South of Market,6,Rincon Hill,"333 1st St
San Francisco, CA 94105
(37.786788, -122.393834)"
382,Entitled/Approved,1301 16th St,1301,16th Street,"1301 16th St, San Francisco, CA 94103",On-site BMR Project ,Rental,176,176,28,28,0,0,,,04/28/2016,,Mission Bay,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1301 16th St
San Francisco, CA 94103
(37.766192, -122.400709)"
76,Completed,525 Gough St,525-527,Gough Street,"525 Gough St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,21,21,3,3,0,0,,,12/19/2002,01/01/2006,Hayes Valley,Western Addition,5,Market and Octavia,"525 Gough St
San Francisco, CA 94102
(37.778313, -122.42328)"
134,Completed,Galvin Apartments ,785-787,Brannan Street,"785 Brannan St, San Francisco, CA, 94103",Units for Off-site Project,Rental,56,0,56,0,0,56,555 4th Street ,,02/03/2005,09/07/2006,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"785 Brannan St
San Francisco, CA 94103
(37.773427, -122.402743)"
281,Building Permit Issued,1 Henry Adams,1,Henry Adams,"1 Henry Adams St, San Francisco, CA, 94103",Land Dedication ,Rental,239,239,0,0,0,0,,,01/24/2013,,Mission Bay,South of Market,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1 Henry Adams St
San Francisco, CA 94103
(37.769398, -122.403969)"
217,Completed,Rincon Green,333,Harrison Street,"333 Harrison St, San Francisco, CA, 94105",On-site BMR Project ,Rental,326,326,49,49,0,0,,,03/19/2009,01/01/2013,Financial District,South of Market,6,Rincon Hill,"333 Harrison St
San Francisco, CA 94105
(37.787072, -122.391658)"
311,First Construction Document Issued,119 - 7th Street,119,07th Street,"119 7th St, San Francisco, CA, 94103",Fee Payment ,Unknown,39,39,0,0,0,0,,,06/19/2014,,South of Market,South of Market,6,East SoMa (Eastern Neighborhoods),"119 7th St
San Francisco, CA 94103
(37.778738, -122.410367)"
133,Completed,1461 Pine Street ,1461,Pine Street ,"1461 Pine St, San Francisco, CA, 94109",Fee Payment ,Rental,35,35,0,0,0,0,,,01/01/2005,03/14/2013,Nob Hill,Nob Hill,3,,"1461 Pine St
San Francisco, CA 94109
(37.789712, -122.419716)"
162,Completed,900 Minnesota,900,Minnesota Street,"900 Minnesota St, San Francisco, CA, 94107",Fee Payment ,Ownership,142,142,0,0,0,0,,,12/15/2005,01/01/2010,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"900 Minnesota St
San Francisco, CA 94107
(37.759487, -122.390353)"
341,Entitled/Approved,1238 Sutter Street ,1238,Sutter Street,"1238 Sutter St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,37,37,4,4,0,0,,,05/07/2015,,Nob Hill,Downtown/Civic Center,3,Van Ness Corridor,"1238 Sutter St
San Francisco, CA 94109
(37.787674, -122.420785)"
101,Completed,Silver Park,901-933,Bayshore Blvd.,"901 Bay Shore Blvd, San Francisco, CA, 94124",On-site BMR Project ,Rental,40,40,4,4,0,0,,,10/02/2003,01/01/2003,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"901 Bay Shore Blvd
San Francisco, CA 94124
(37.732536, -122.404408)"
268,Entitled/Approved,376 Castro Street,376,Castro Street,"376 Castro St, San Francisco, CA, 94114",On-site BMR Project ,Ownership,24,24,3,3,0,0,,,08/02/2012,,Castro/Upper Market,Castro/Upper Market,8,,"376 Castro St
San Francisco, CA 94114
(37.762934, -122.435199)"
350,Entitled/Approved,236-238 Shipley Street,236-238,Shipley Street,"236 Shipley St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,17,17,2,2,0,0,,,06/25/2015,,South of Market,South of Market,6,Central SoMa,"236 Shipley St
San Francisco, CA 94107
(37.779124, -122.403744)"
371,Entitled/Approved,580 De Haro,580,De Haro Street,"560 De Haro St, San Francisco, CA 94107",Fee Payment ,Unknown,12,12,0,0,0,0,,,02/11/2016,,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"560 De Haro St
San Francisco, CA 94107
(37.762775, -122.401415)"
98,Completed,436 Clementina,436,Clementina Street,"436 Clementina St, San Francisco, CA, 94103",On-site BMR Project ,Rental,20,20,3,3,0,0,,,09/04/2003,07/23/2008,South of Market,South of Market,6,Central SoMa,"436 Clementina St
San Francisco, CA 94103
(37.780002, -122.404843)"
148,Completed,733 Front Street ,733,Front Street,"733 Front St, San Francisco, CA, 94111",Fee Payment ,Unknown,69,69,0,0,0,0,,,06/24/2005,12/03/2007,Financial District,Financial District,3,Northeast Waterfront,"733 Front St
San Francisco, CA 94111
(37.798099, -122.399759)"
